wmh_var	clust	categ	n_dx	n_hc	beta_groupHC	pval_groupHC	pval_fdr	pval_nsig_05	pval_fdr_nsig_05
MD	c2	dementia_no_vasc	31	8528	0.413427607946425	0.0188991215512797	0.0278332517391574	TRUE	TRUE
MD	c3	dementia_no_vasc	31	8528	0.0680287770265135	0.693523487359743	0.769526061316975	FALSE	FALSE
ICVF	c1	dementia_no_vasc	31	8528	0.299629446486647	0.0830781700895821	0.106814790115177	FALSE	FALSE
ICVF	c2	dementia_no_vasc	31	8528	0.132719700305417	0.457330794747726	0.536866585138635	FALSE	FALSE
ICVF	c3	dementia_no_vasc	31	8528	0.111533656500872	0.519118423181828	0.584008226079557	FALSE	FALSE
ISOVF	c1	dementia_no_vasc	31	8528	0.537513975751993	0.00268656922489933	0.00453358556701763	TRUE	TRUE
ISOVF	c2	dementia_no_vasc	31	8528	0.447096751093552	0.0120660465876371	0.0187951879538194	TRUE	TRUE
ISOVF	c3	dementia_no_vasc	31	8528	-0.140580499575564	0.421386408756167	0.501945575136023	FALSE	FALSE
OD	c1	dementia_no_vasc	31	8528	-0.00394755611885234	0.981890308887365	0.987380825620147	FALSE	FALSE
OD	c2	dementia_no_vasc	31	8528	0.391367297464361	0.0279764190718357	0.0404658918717624	TRUE	TRUE
OD	c3	dementia_no_vasc	31	8528	0.388411419066855	0.0291803155813913	0.0414667642472403	TRUE	TRUE
T2star	c1	dementia_no_vasc	31	8528	0.00278815685446957	0.987380825620147	0.987380825620147	FALSE	FALSE
T2star	c2	dementia_no_vasc	31	8528	0.0527303687729267	0.766782089230605	0.828124656369053	FALSE	FALSE
T2star	c3	dementia_no_vasc	31	8528	0.0163785931816485	0.924918834908229	0.960492636250853	FALSE	FALSE
QSM	c1	dementia_no_vasc	31	8528	0.204567661273459	0.256324698918273	0.314580312308789	FALSE	FALSE
QSM	c2	dementia_no_vasc	31	8528	0.122192683357441	0.497520119573328	0.57477139957328	FALSE	FALSE
QSM	c3	dementia_no_vasc	31	8528	0.0406567178172557	0.821520360954681	0.875567753122752	FALSE	FALSE
